rank_by_estimated_users,rank_by_ai_share,rank_by_h1_to_h2_change,rank_by_h2_to_q1_change,rank_by_readiness,rank_by_access_headroom,rank_by_positive_diffusion_gap,rank_by_negative_diffusion_gap,country,microsoft_economy,code,region,income_group,ai_share_h1_2025_pct,ai_share_h2_2025_pct,ai_share_q1_2026_pct,h1_to_h2_change_pp,h2_to_q1_change_pp,h1_to_q1_change_pp,h1_to_h2_growth_pct,h2_to_q1_growth_pct,h1_to_q1_growth_pct,working_age_population_2025,working_age_population_2026,estimated_ai_users_h1_2025,estimated_ai_users_h2_2025,estimated_ai_users_q1_2026,estimated_user_change_h1_to_h2,estimated_user_change_h2_to_q1,estimated_user_change_h1_to_q1,internet_user_pct,internet_year,electricity_access_pct,electricity_year,gdp_per_capita_usd,gdp_year,gdp_readiness_score,readiness_score,access_ceiling_pct,access_headroom_users,internet_normalised_ai_intensity_pct,modelled_ai_share_q1_2026_pct,modelled_ai_users_q1_2026,diffusion_gap_pp,modelled_user_gap_q1_2026,offline_working_age_population,source_url
17,74,68,74,84,11,41,105,Egypt,Egypt,EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12.5,13.4,14.8,0.9000000000000004,1.4,2.3000000000000007,7.200000000000002,10.447761194029853,18.400000000000006,74774810,76233317,9346851,10019825,11282531,672974,1262706,1935680,74.64839935,2024,100.0,2023,3338.47371395895,2024,37.916000866317184,73.63981981576345,74.64839935,45624420,19.826279101589336,12.295632999774684,9373369,2.504367000225317,1909162,19326366,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
18,25,24,30,32,21,72,74,Italy,Italy,ITA,Europe & Central Asia,High income,25.8,27.8,30.2,2.0,2.4,4.399999999999999,7.751937984496124,8.63309352517985,17.054263565891468,37406875,37103442,9650974,10399111,11205239,748137,806128,1554265,89.2207202,2024,100.0,2023,40385.3413957669,2024,72.63819435495866,88.59903498099173,89.2207202,21898719,33.84863956747123,30.112348274563967,11172718,0.08765172543603228,32521,3999484,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
19,65,56,15,48,14,126,20,Turkey,Turkey,TUR,Europe & Central Asia,Upper middle income,13.4,14.6,17.4,1.1999999999999993,2.8,3.9999999999999982,8.955223880597009,19.178082191780817,29.850746268656703,59982227,60248012,8037618,8757405,10483154,719787,1725749,2445536,87.3078767,2024,100.0,2023,15892.7157287241,2024,59.64872993191166,84.94907817138234,87.3078767,42118106,19.929473327805713,22.494479913261763,13552477,-5.094479913261765,-3069323,7646752,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
20,46,30,52,82,19,19,127,South Africa,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,19.3,21.1,23.1,1.8000000000000007,2.0,3.8000000000000007,9.326424870466326,9.47867298578199,19.68911917098446,43634242,44080679,8421409,9206825,10182637,785416,975812,1761228,78.35759735,2024,87.7,2023,6267.186814093,2024,46.68813455926684,74.35930545435338,78.35759735,24357924,29.480230100495803,17.096030055112944,7536046,6.003969944887057,2646591,9540118,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
21,15,46,36,18,35,32,114,Canada,Canada,CAN,North America,High income,33.5,35.0,37.3,1.5,2.3,3.799999999999997,4.477611940298507,6.571428571428563,11.343283582089542,25985797,26065979,8705242,9095029,9722610,389787,627581,1017368,94.353302,2024,100.0,2023,54340.3477224733,2024,76.77206715077655,92.24872953015532,94.353302,14871502,39.532267773734084,33.52861504647238,8739562,3.7713849535276154,983048,1471867,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
22,41,38,23,73,24,13,133,Colombia,Colombia,COL,Latin America & Caribbean,Upper middle income,20.4,22.0,24.5,1.6000000000000014,2.5,4.100000000000001,7.843137254901968,11.363636363636363,20.098039215686285,37294814,37550042,7608142,8204859,9199760,596717,994901,1591618,79.34543299,2024,98.7,2023,7919.20886825345,2024,49.94681349349305,78.30435084319862,79.34543299,20594483,30.877643585469833,17.258835614181677,6480700,7.241164385818323,2719060,7755799,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
23,127,116,134,98,9,104,42,Bangladesh,Bangladesh,BGD,South Asia,Lower middle income,6.5,7.1,7.8,0.5999999999999996,0.7,1.2999999999999998,9.230769230769226,9.859154929577468,20.0,115401406,117061307,7501091,8193500,9130782,692409,937282,1629691,53.42171316,2024,99.5,2023,2593.41611680774,2024,34.39862030084888,61.13666629816978,53.42171316,53405374,14.600804688982382,9.856264978696398,11537873,-2.0562649786963982,-2407091,54525151,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
24,116,125,71,31,6,144,2,Russia,Russia,RUS,Europe & Central Asia,High income,7.6,8.0,9.5,0.40000000000000036,1.5,1.9000000000000004,5.263157894736848,18.75,25.000000000000007,93858547,93066686,7133250,7508684,8841335,375434,1332651,1708085,94.36495368,2024,100.0,2023,14889.0185546875,2024,58.74010084721374,88.64874469344275,94.36495368,78981000,10.06729684011222,22.897327901545438,21309784,-13.397327901545438,-12468449,5244351,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
25,85,62,58,66,10,112,34,Iran,Iran,IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,9.6,10.7,12.6,1.0999999999999996,1.9,3.0,11.45833333333333,17.757009345794398,31.25,64135212,64740036,6156980,6862468,8157245,705488,1294777,2000265,85.3404007,2024,100.0,2023,5190.16959024821,2024,44.06182820099757,80.74958602519952,85.3404007,47092162,14.764402201828423,15.330529178185223,9924990,-2.7305291781852237,-1767745,9490630,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
26,30,9,9,8,31,90,56,Saudi Arabia,Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income,23.7,26.2,29.4,2.5,3.2,5.699999999999999,10.548523206751055,12.213740458015266,24.050632911392402,25344770,25810223,6006710,6640330,7588206,633620,947876,1581496,100.0,2024,100.0,2023,35121.6628687742,2024,70.69314717708265,94.13862943541653,100.0,18222017,29.4,30.507370734369708,7874020,-1.1073707343697095,-285814,0,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
