rank_by_estimated_users,rank_by_ai_share,rank_by_h1_to_h2_change,rank_by_h2_to_q1_change,rank_by_readiness,rank_by_access_headroom,rank_by_positive_diffusion_gap,rank_by_negative_diffusion_gap,country,microsoft_economy,code,region,income_group,ai_share_h1_2025_pct,ai_share_h2_2025_pct,ai_share_q1_2026_pct,h1_to_h2_change_pp,h2_to_q1_change_pp,h1_to_q1_change_pp,h1_to_h2_growth_pct,h2_to_q1_growth_pct,h1_to_q1_growth_pct,working_age_population_2025,working_age_population_2026,estimated_ai_users_h1_2025,estimated_ai_users_h2_2025,estimated_ai_users_q1_2026,estimated_user_change_h1_to_h2,estimated_user_change_h2_to_q1,estimated_user_change_h1_to_q1,internet_user_pct,internet_year,electricity_access_pct,electricity_year,gdp_per_capita_usd,gdp_year,gdp_readiness_score,readiness_score,access_ceiling_pct,access_headroom_users,internet_normalised_ai_intensity_pct,modelled_ai_share_q1_2026_pct,modelled_ai_users_q1_2026,diffusion_gap_pp,modelled_user_gap_q1_2026,offline_working_age_population,source_url
47,2,15,25,11,118,2,144,Singapore,Singapore,SGP,East Asia & Pacific,High income,58.6,60.9,63.4,2.299999999999997,2.5,4.799999999999997,3.9249146757679134,4.105090311986864,8.191126279863477,4350213,4340305,2549225,2649280,2751753,100055,102473,202528,94.37757178,2024,100.0,2023,90674.066632628,2024,83.90333451333383,93.68833138166677,94.37757178,1344521,67.1769773307893,38.3512506816863,1664561,25.048749318313696,1087192,244031,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
48,82,71,75,107,56,51,95,Cote d'Ivoire,Cote D'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,10.8,11.7,13.1,0.8999999999999986,1.4,2.299999999999999,8.33333333333332,11.96581196581197,21.296296296296287,18609975,19176936,2009877,2177367,2512179,167490,334812,502302,41.43219902,2024,72.4,2023,2727.8935220697,2024,35.10273968573873,47.908257398147754,41.43219902,5433248,31.61792110931987,11.383479673850458,2183003,1.716520326149542,329176,11231510,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
49,118,147,144,70,29,133,13,Ukraine,Ukraine,UKR,Europe & Central Asia,Upper middle income,9.1,9.0,9.4,-0.09999999999999964,0.4,0.3000000000000007,-1.098901098901095,4.444444444444448,3.2967032967033045,26247002,26668079,2388477,2362230,2506799,-26247,144569,118322,82.47489929,2024,100.0,2023,5389.47314453125,2024,44.58665796384737,79.27852620226948,82.47489929,19487672,11.397407066782247,15.269063035419958,4071966,-5.869063035419957,-1565167,4673608,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
50,57,91,63,78,49,34,112,Ecuador,Ecuador,ECU,Latin America & Caribbean,Upper middle income,17.0,17.7,19.5,0.6999999999999993,1.8,2.5,4.117647058823525,10.169491525423734,14.705882352941178,12346521,12505266,2098909,2185334,2438527,86425,253193,339618,77.17273115,2024,98.7,2023,6874.705739766,2024,47.97678337729883,76.71535880795977,77.17273115,7212128,25.267992604924157,16.23879661961596,2030705,3.261203380384039,407822,2854611,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
51,17,20,16,15,69,47,99,Sweden,Sweden,SWE,Europe & Central Asia,High income,31.2,33.3,36.1,2.099999999999998,2.8,4.900000000000002,6.730769230769224,8.408408408408421,15.705128205128213,6647687,6686951,2074078,2213680,2413989,139602,200309,339911,95.52930428,2024,100.0,2023,57117.4877440616,2024,77.46629191654178,93.03437573730837,95.52930428,3974008,37.78945138571253,34.17064796380032,2284974,1.9293520361996812,129015,298953,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
52,93,83,87,118,53,105,41,Angola,Angola,AGO,Sub-Saharan Africa,Lower middle income,8.9,9.7,10.9,0.7999999999999989,1.2,2.0,8.988764044943807,12.371134020618568,22.47191011235955,20693793,21409350,1841748,2007298,2333619,165550,326321,491871,40.70479965,2024,51.1,2023,2665.87444776753,2024,34.78242622361691,42.11912505222338,40.70479965,6381014,26.77816889832057,13.124674231777597,2809907,-2.2246742317775965,-476288,12694717,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
53,132,129,114,126,76,66,80,Sudan,Sudan,SDN,Sub-Saharan Africa,Low income,6.4,6.8,7.6,0.39999999999999947,0.8,1.1999999999999993,6.249999999999992,11.764705882352938,18.74999999999999,29137268,30217817,1864785,1981334,2296554,116549,315220,431769,18.60000038,2017,66.0,2023,984.607666015625,2024,20.909386626157566,30.911877534231515,18.60000038,3323960,40.86021421898487,7.064880043015958,2134853,0.5351199569840412,161701,24597303,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
54,27,39,17,42,62,6,140,Jordan,Jordan,JOR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,25.4,27.0,29.7,1.6000000000000014,2.7,4.300000000000001,6.2992125984252025,9.999999999999998,16.92913385826772,7494229,7577902,1903534,2023442,2250637,119908,227195,347103,95.62244985,2024,100.0,2023,4618.09592498567,2024,42.43524615610104,86.0793966487202,95.62244985,4995539,31.05965183551507,15.652042377344214,1186096,14.047957622655785,1064541,331726,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
55,13,17,53,28,85,22,124,Israel,Israel,ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income,33.9,36.1,38.1,2.200000000000003,2.0,4.200000000000003,6.489675516224197,5.540166204986149,12.389380530973462,5724056,5815463,1940455,2066384,2215691,125929,149307,275236,88.18242225,2024,100.0,2023,54176.6844383302,2024,76.73005482595757,88.84634320269151,88.18242225,2912525,43.20588959553105,32.540758670798695,1892396,5.559241329201306,323295,687247,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
56,133,130,115,138,137,80,66,Uganda,Uganda,UGA,Sub-Saharan Africa,Low income,6.4,6.8,7.6,0.39999999999999947,0.8,1.1999999999999993,6.249999999999992,11.764705882352938,18.74999999999999,28087154,29050588,1797578,1909926,2207845,112348,297919,410267,8.949831061,2024,51.5,2023,1077.91278452817,2024,22.170420529358324,22.231491189421664,8.949831061,392134,84.91780401440138,7.675137458676712,2229673,-0.0751374586767124,-21828,26450609,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
57,102,104,116,90,37,96,50,Ghana,Ghana,GHA,Sub-Saharan Africa,Lower middle income,8.7,9.3,10.1,0.6000000000000014,0.8,1.4000000000000004,6.8965517241379475,8.602150537634397,16.09195402298851,21312985,21808495,1854230,1982108,2202658,127878,220550,348428,72.17569733,2024,89.5,2023,2390.77237652715,2024,33.26543420710593,68.7247203729212,72.17569733,13537775,13.993629952504676,11.591814634016757,2528000,-1.491814634016757,-325342,6068062,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
58,14,13,14,4,75,108,38,Switzerland,Switzerland,CHE,Europe & Central Asia,High income,32.4,34.8,37.8,2.3999999999999986,3.0,5.399999999999999,7.407407407407403,8.620689655172415,16.666666666666664,5800518,5793443,1879368,2018580,2189921,139212,171341,310553,97.3443985,2024,100.0,2023,103998.186685604,2024,85.81291097615981,95.70200137023197,97.3443985,3449671,38.83120198231026,40.18698044956485,2328210,-2.3869804495648523,-138289,153851,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
59,94,84,88,135,102,36,110,Mozambique,Mozambique,MOZ,Sub-Saharan Africa,Low income,8.9,9.7,10.9,0.7999999999999989,1.2,2.0,8.988764044943807,12.371134020618568,22.47191011235955,18919552,19580723,1683840,1835197,2134299,151357,299102,450459,20.52729988,2024,36.0,2023,656.776824637306,2024,15.269898073916789,23.34399454878336,20.52729988,1885095,53.10001833519276,7.727034772764581,1513009,3.1729652272354194,621290,15561329,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
60,64,72,77,34,46,139,7,Romania,Romania,ROU,Europe & Central Asia,High income,15.3,16.2,17.5,0.8999999999999986,1.3,2.1999999999999993,5.88235294117646,8.024691358024697,14.379084967320255,12159457,12093615,1860397,1969832,2116383,109435,146551,255986,91.29048551,2024,100.0,2023,20080.2096215595,2024,62.90615713906551,87.79099845831311,91.29048551,8923937,19.16957709473792,24.724829633503333,2990126,-7.224829633503333,-873743,1053295,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
61,95,85,89,137,109,31,115,Madagascar,Madagascar,MDG,Sub-Saharan Africa,Low income,8.9,9.7,10.9,0.7999999999999989,1.2,2.0,8.988764044943807,12.371134020618568,22.47191011235955,18855174,19382989,1678110,1828952,2112746,150842,283794,434636,18.67790031,2024,39.4,2023,544.987501003384,2024,12.671166574671739,22.657078485434347,18.67790031,1507590,58.35773732106402,6.929277641543918,1343101,3.970722358456082,769645,15762654,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
62,70,65,42,33,41,136,10,Kazakhstan,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,12.7,13.7,15.9,1.0,2.2,3.200000000000001,7.874015748031496,16.05839416058395,25.1968503937008,12893931,13030944,1637529,1766469,2071920,128940,305451,434391,93.39167254,2024,100.0,2023,14154.6324958076,2024,58.03558814508284,87.97253752601657,93.39167254,10097896,17.025072544010786,22.414595329326453,2920833,-6.514595329326452,-848913,861127,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
63,26,32,38,38,70,44,102,Czechia,Czech Republic,CZE,Europe & Central Asia,High income,26.0,27.8,30.1,1.8000000000000007,2.3,4.100000000000001,6.923076923076926,8.27338129496403,15.769230769230774,6761718,6709044,1758047,1879758,2019422,121711,139664,261375,87.68776014,2024,100.0,2023,31823.3078290564,2024,69.31956621141916,87.09218131928384,87.68776014,3863588,34.32634150073297,27.88343464411395,1870712,2.2165653558860505,148710,826034,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
64,69,60,68,93,57,42,104,Guatemala,Guatemala,GTM,Latin America & Caribbean,Upper middle income,13.7,14.8,16.4,1.1000000000000014,1.6,2.6999999999999993,8.029197080291981,10.810810810810796,19.708029197080286,11962256,12224160,1638829,1770414,2004762,131585,234348,365933,60.22140121,2024,100.0,2023,6150.02571438505,2024,46.425292267794546,67.40682911905891,60.22140121,5356798,27.232843591285803,13.988780579577922,1710011,2.4112194204220767,294751,4862600,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
65,18,16,18,17,74,81,65,Austria,Austria,AUT,Europe & Central Asia,High income,29.1,31.4,34.1,2.299999999999997,2.7,5.0,7.903780068728512,8.59872611464969,17.18213058419244,5901774,5857571,1717416,1853157,1997432,135741,144275,280016,94.91974877,2024,100.0,2023,58268.8787651601,2024,77.74426694738199,92.75471521297641,94.91974877,3562560,35.925084549715464,34.2579414079089,2006683,-0.15794140790890054,-9251,297579,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
66,19,26,31,26,72,20,126,Hungary,Hungary,HUN,Europe & Central Asia,High income,27.9,29.8,32.2,1.9000000000000021,2.4,4.300000000000004,6.810035842293914,8.053691275167791,15.41218637992833,6211869,6169732,1733111,1851137,1986654,118026,135517,253543,93.77898628,2024,100.0,2023,23292.3263882478,2024,64.97294272832747,89.57303099966549,93.77898628,3799258,34.336050406707386,26.20958806438357,1617061,5.990411935616432,369593,383820,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
67,97,92,78,80,39,116,30,Venezuela,Venezuela,VEN,Latin America & Caribbean,Not classified,8.3,9.0,10.3,0.6999999999999993,1.3,2.0,8.433734939759027,14.444444444444452,24.096385542168672,18554733,18704673,1540043,1669926,1926581,129883,256655,386538,76.67890167,2024,100.0,2023,4217.59102643391,2024,41.17170833090449,75.4077375846809,76.67890167,12415956,13.432638934146068,13.53128993456852,2530984,-3.231289934568519,-604403,4362135,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
68,39,93,48,45,61,28,118,Dominican Republic,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,22.0,22.7,24.8,0.6999999999999993,2.1,2.8000000000000007,3.1818181818181785,9.25110132158591,12.727272727272732,7558944,7626200,1662968,1715880,1891298,52912,175418,228330,91.0022446,2024,99.6,2023,10875.6618443092,2024,54.365321746746616,85.82429887934933,91.0022446,5048716,27.252075054860793,20.375237165953518,1553856,4.424762834046483,337442,686187,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
69,3,61,43,1,103,9,137,Norway,Norway,NOR,Europe & Central Asia,High income,45.3,46.4,48.6,1.1000000000000014,2.2,3.3000000000000043,2.42825607064018,4.741379310344834,7.2847682119205395,3654767,3669388,1655609,1695812,1783323,40203,87511,127714,99.0,2024,100.0,2023,86785.4334489176,2024,83.29282802801036,96.10856560560208,99.0,1849372,49.09090909090909,38.69675873597544,1419934,9.903241264024558,363389,36694,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
70,4,4,4,3,104,11,135,Ireland,Ireland,IRL,Europe & Central Asia,High income,41.7,44.6,48.4,2.8999999999999986,3.8,6.699999999999996,6.954436450839324,8.520179372197303,16.06714628297361,3487164,3525692,1454147,1555275,1706435,101128,151160,252288,97.18769836,2024,100.0,2023,112894.953240805,2024,86.95619244707886,95.84447258741578,97.18769836,1720104,49.8005414437515,40.97037273167363,1444489,7.429627268326371,261946,99153,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
71,36,33,44,37,68,88,58,Portugal,Portugal,PRT,Europe & Central Asia,High income,22.4,24.2,26.4,1.8000000000000007,2.2,4.0,8.035714285714288,9.090909090909088,17.857142857142858,6491086,6445530,1454003,1570843,1701620,116840,130777,247617,88.48704454,2024,100.0,2023,29292.242104753,2024,68.16525421593043,87.3009253401861,88.48704454,4001839,29.83487598353005,27.31809110572802,1760796,-0.9180911057280206,-59176,742071,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
72,83,105,117,131,136,26,120,Zambia,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,11.7,12.3,13.1,0.6000000000000014,0.8,1.4000000000000004,5.12820512820514,6.5040650406503975,11.96581196581197,12497247,12937365,1462178,1537161,1694795,74983,157634,232617,17.10099983,2024,51.1,2023,1187.10943350064,2024,23.51441251111426,26.883432408722854,17.10099983,517624,76.60370814704581,8.41570356984483,1088770,4.68429643015517,606025,10724946,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
73,141,117,101,63,30,134,12,Uzbekistan,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,5.7,6.3,7.2,0.5999999999999996,0.9,1.5,10.526315789473678,14.28571428571429,26.31578947368421,23210347,23483592,1322990,1462252,1690819,139262,228567,367829,89.50550079,2024,100.0,2023,3161.70010632875,2024,37.158256727569245,81.65967678001385,89.50550079,19328288,8.044198330215275,13.210826714394758,3102377,-6.010826714394757,-1411558,2464485,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
74,79,119,98,103,59,37,109,Senegal,Senegal,SEN,Sub-Saharan Africa,Lower middle income,12.4,12.9,13.9,0.5,1.0,1.5,4.032258064516129,7.751937984496124,12.096774193548386,11096219,11426676,1375931,1431412,1588308,55481,156896,212377,60.11780167,2024,74.2,2023,1773.21829923448,2024,29.103423517001588,57.43547562190032,60.11780167,5281158,23.12127126054974,10.794783247741869,1233485,3.1052167522581318,354823,4557210,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
75,144,120,140,125,90,50,96,Afghanistan,Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income,5.1,5.6,6.1,0.5,0.5,1.0,9.803921568627452,8.928571428571429,19.607843137254903,24120182,24924935,1230129,1350730,1520421,120601,169691,290292,16.09499931,2024,85.3,2023,413.757894705303,2023,8.834217533267307,31.94409312715346,16.09499931,2491247,37.89997055924074,4.272498266312165,1064917,1.8275017336878348,455504,20913267,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
76,121,79,102,105,51,95,51,Cameroon,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,7.0,7.8,8.7,0.7999999999999998,0.9,1.6999999999999993,11.428571428571425,11.538461538461533,24.285714285714274,16751854,17270639,1172630,1306645,1502546,134015,195901,329916,46.25880051,2024,72.0,2023,1830.00833684727,2024,29.542499389109405,49.35084015832189,46.25880051,6486645,18.807232146279443,10.172094903548935,1756786,-1.4720949035489355,-254240,9281449,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
77,103,106,118,140,126,54,92,Niger,Niger,NER,Sub-Saharan Africa,Low income,8.7,9.3,10.1,0.6000000000000014,0.8,1.4000000000000004,6.8965517241379475,8.602150537634397,16.09195402298851,14281545,14844256,1242494,1328184,1499270,85690,171086,256776,15.55760002,2024,20.1,2023,735.270255787226,2024,16.842299164159154,16.95013984383183,15.55760002,810140,64.92003899712032,8.811357877791622,1307981,1.288642122208378,191289,12534846,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
78,7,5,26,22,105,8,138,New Zealand,New Zealand,NZL,East Asia & Pacific,High income,37.6,40.5,43.0,2.8999999999999986,2.5,5.399999999999999,7.712765957446805,6.172839506172839,14.36170212765957,3388164,3401015,1273950,1372206,1462436,98256,90230,188486,93.51930237,2024,100.0,2023,49205.1792146792,2024,75.38944720701744,91.5135057449035,93.51930237,1718169,45.97981262721004,32.50046996694228,1105346,10.499530033057717,357090,220409,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
79,96,86,90,141,134,39,107,Malawi,Malawi,MWI,Sub-Saharan Africa,Low income,8.9,9.7,10.9,0.7999999999999989,1.2,2.0,8.988764044943807,12.371134020618568,22.47191011235955,12726487,13175178,1132657,1234469,1436094,101812,201625,303437,18.96159935,2024,15.6,2023,522.570393642547,2024,12.086140785818737,16.746107799663747,15.6,619233,57.48460242621887,8.200949808637727,1080490,2.6990501913622733,355604,10676954,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
80,104,107,119,133,106,83,63,Burkina Faso,Burkina Faso,BFA,Sub-Saharan Africa,Low income,8.7,9.3,10.1,0.6000000000000014,0.8,1.4000000000000004,6.8965517241379475,8.602150537634397,16.09195402298851,13516878,13964264,1175968,1257070,1410391,81102,153321,234423,28.25270081,2024,21.7,2023,981.992649769081,2024,20.872345722428673,25.138454589985734,21.7,1619855,35.74879466541167,10.504208504447352,1466835,-0.404208504447352,-56444,10018982,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
81,105,108,120,120,73,58,88,Mali,Mali,MLI,Sub-Saharan Africa,Low income,8.7,9.3,10.1,0.6000000000000014,0.8,1.4000000000000004,6.8965517241379475,8.602150537634397,16.09195402298851,13063825,13541889,1136553,1214936,1367731,78383,152795,231178,36.80149841,2024,54.5,2023,1094.61949265799,2024,22.38463866746664,38.34275185899333,36.80149841,3615887,27.44453469659688,9.03036003960923,1222881,1.06963996039077,144850,8558271,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
82,138,131,145,113,65,64,82,Syria,Syria,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income,6.7,7.1,7.5,0.39999999999999947,0.4,0.7999999999999998,5.970149253731335,5.633802816901413,11.940298507462684,17093967,17775172,1145296,1213672,1333138,68376,119466,187842,33.77000046,2018,88.4,2023,1051.67149587463,2022,21.827150932725072,45.03893043954502,33.77000046,4669538,22.209060994487174,6.730263119091714,1196316,0.7697368809082858,136822,11772496,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
83,53,47,67,46,67,125,21,Greece,Greece,GRC,Europe & Central Asia,High income,17.7,19.1,20.8,1.4000000000000021,1.7,3.1000000000000014,7.909604519774023,8.90052356020942,17.51412429378532,6236498,6206328,1103860,1191171,1290916,87311,99745,187056,86.26968886,2024,100.0,2023,24626.1481858973,2024,65.74852890303762,85.59803465360753,86.26968886,4063264,24.110438179224936,25.632530178157676,1590839,-4.8325301781576755,-299923,852148,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
84,62,52,45,51,58,78,68,Azerbaijan,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,14.2,15.5,17.7,1.3000000000000007,2.2,3.5,9.154929577464795,14.193548387096769,24.647887323943664,7240044,7280000,1028086,1122207,1288560,94121,166353,260474,90.43979645,2024,100.0,2023,7283.8499076179,2024,48.781978942883505,84.49828383607671,90.43979645,5295457,19.571030337054676,17.736036014367023,1291183,-0.036036014367024194,-2623,695983,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
85,28,27,32,59,93,14,132,Bulgaria,Bulgaria,BGR,Europe & Central Asia,High income,25.4,27.3,29.7,1.9000000000000021,2.4,4.300000000000001,7.48031496062993,8.791208791208787,16.92913385826772,4254658,4214045,1080683,1161522,1251571,80839,90049,170888,82.438955,2024,100.0,2023,17596.0173663521,2024,61.06677748551578,82.55478074710317,82.438955,2222443,36.02665754314813,22.623831977203203,953378,7.0761680227967965,298193,740030,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
86,22,21,27,2,89,132,14,Denmark,Denmark,DNK,Europe & Central Asia,High income,26.6,28.7,31.2,2.099999999999998,2.5,4.599999999999998,7.894736842105255,8.710801393728223,17.293233082706756,3800735,3803280,1010996,1090811,1186623,79815,95812,175627,99.76915157,2024,100.0,2023,71026.4832271897,2024,80.50182461617169,95.97339828673435,99.76915157,2607877,31.272191362787588,36.896218459287766,1403266,-5.696218459287767,-216643,8780,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
87,140,132,135,96,48,124,22,Sri Lanka,Sri Lanka,LKA,South Asia,Lower middle income,6.2,6.6,7.3,0.39999999999999947,0.7,1.0999999999999996,6.451612903225798,10.606060606060609,17.74193548387096,15290678,15357162,948022,1009185,1121073,61163,111888,173051,54.59,2024,100.0,2023,4515.56787322732,2024,42.122538181167116,63.449007636233425,54.59,7262402,13.372412529767356,12.107644893926928,1859391,-4.807644893926928,-738318,6973687,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
88,80,139,121,81,60,77,69,Tunisia,Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12.3,12.7,13.5,0.3999999999999986,0.8,1.1999999999999993,3.2520325203251916,6.2992125984252025,9.756097560975602,8211982,8272257,1010074,1042922,1116755,32848,73833,106681,76.5,2024,100.0,2023,4181.13789301228,2024,41.050802551901135,75.28516051038022,76.5,5211522,17.647058823529413,13.475093252357695,1114694,0.02490674764230505,2061,1943980,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
89,10,7,5,5,112,27,119,Qatar,Qatar,QAT,"Middle East, North Africa, Afghanistan & Pakistan",High income,35.7,38.3,41.8,2.5999999999999943,3.5,6.099999999999994,7.28291316526609,9.138381201044387,17.08683473389354,2595498,2643005,926593,994076,1104776,67483,110700,178183,98.08540344,2024,100.0,2023,76688.6941743178,2024,81.5701334020895,95.2609985724179,98.08540344,1487626,42.61592299568768,37.352355406703445,987225,4.447644593296552,117551,50603,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
90,35,43,39,24,86,56,90,Oman,Oman,OMN,"Middle East, North Africa, Afghanistan & Pakistan",High income,22.6,24.2,26.5,1.5999999999999979,2.3,3.8999999999999986,7.079646017699106,9.504132231404961,17.256637168141587,4010718,4152440,906422,970594,1100397,64172,129803,193975,95.25174678,2024,100.0,2023,20285.2272897377,2024,63.047641487087226,89.99798902641746,95.25174678,2854875,27.82101210301815,25.32581084140225,1051639,1.1741891585977484,48758,197168,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
91,84,94,94,75,55,93,53,Bolivia,Bolivia,BOL,Latin America & Caribbean,Lower middle income,10.9,11.6,12.7,0.6999999999999993,1.1,1.799999999999999,6.422018348623847,9.482758620689651,16.5137614678899,8155505,8293676,888950,946039,1053297,57089,107258,164347,79.70469666,2024,99.8,2023,4421.16609889999,2024,41.828271892004686,77.15323754140094,79.70469666,5557152,15.933816364893746,14.033202297913144,1163868,-1.3332022979131448,-110571,1683227,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
92,33,73,69,76,100,4,142,Lebanon,Lebanon,LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,24.8,25.7,27.3,0.8999999999999986,1.6,2.5,3.6290322580645102,6.2256809338521455,10.080645161290322,3741835,3791529,927975,961652,1035087,33677,73435,107112,80.63400269,2024,100.0,2023,3477.72489842684,2023,38.48516840506895,77.0457351605138,80.63400269,2022174,33.85668463583003,12.944394797528508,490790,14.355605202471493,544297,734267,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
93,78,95,103,95,78,43,103,Honduras,Honduras,HND,Latin America & Caribbean,Lower middle income,12.4,13.1,14.0,0.6999999999999993,0.9,1.5999999999999996,5.645161290322575,6.870229007633591,12.90322580645161,7175290,7316252,889736,939963,1024275,50227,84312,134539,58.62269974,2024,95.6,2023,3426.43483328923,2024,38.2782241183714,63.79812968067428,58.62269974,3264709,23.881534050959765,11.605280086551172,849072,2.394719913448828,175203,3027268,https://www.microsoft.com/en-us/research/wp-content/uploads/2026/05/Microsoft-AI-Diffusion-Report-2026-Q1.pdf
